received_at,application_id,device_id,f_port,f_cnt,rssi,snr,data_rate_index,consumed_airtime,frm_payload,decoded_payload
2024-06-11T03:00:30.260993519Z,firework,eui-70b3d57ed005de4f,1,340,-35,13.5,-,0.051456s,rm/DbQ==,"{'degreesC': 23.999, 'humidity': 18.0054}"
2024-06-11T03:00:51.402019368Z,firework,eui-70b3d57ed005de4f,1,341,-35,13,-,0.051456s,rm/DbQ==,"{'degreesC': 23.999, 'humidity': 18.0054}"
2024-06-11T03:01:12.557823562Z,firework,eui-70b3d57ed005de4f,1,342,-35,13.5,-,0.051456s,rm/DbQ==,"{'degreesC': 23.999, 'humidity': 18.0054}"
2024-06-11T03:01:33.706432027Z,firework,eui-70b3d57ed005de4f,1,343,-37,13.3,-,0.051456s,rm/DbQ==,"{'degreesC': 23.999, 'humidity': 18.0054}"
2024-06-11T03:01:54.850827097Z,firework,eui-70b3d57ed005de4f,1,344,-35,12.8,-,0.051456s,rm/DbQ==,"{'degreesC': 23.999, 'humidity': 18.0054}"
2024-06-11T03:02:15.992911840Z,firework,eui-70b3d57ed005de4f,1,345,-33,13.5,-,0.051456s,rm/DbQ==,"{'degreesC': 23.999, 'humidity': 18.0054}"
2024-06-11T03:02:37.195389285Z,firework,eui-70b3d57ed005de4f,1,346,-46,10,-,0.051456s,rm/DbQ==,"{'degreesC': 23.999, 'humidity': 18.0054}"
2024-06-11T03:02:58.291214961Z,firework,eui-70b3d57ed005de4f,1,347,-43,13,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:03:19.437834077Z,firework,eui-70b3d57ed005de4f,1,348,-37,12.8,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:03:40.593024722Z,firework,eui-70b3d57ed005de4f,1,349,-35,13.5,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:04:01.738718339Z,firework,eui-70b3d57ed005de4f,1,350,-34,13.3,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:04:22.887353151Z,firework,eui-70b3d57ed005de4f,1,351,-40,13,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:04:44.041644395Z,firework,eui-70b3d57ed005de4f,1,352,-38,13.3,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:05:05.196857233Z,firework,eui-70b3d57ed005de4f,1,353,-37,13.8,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:05:26.331494211Z,firework,eui-70b3d57ed005de4f,1,354,-37,10,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:05:47.480718530Z,firework,eui-70b3d57ed005de4f,1,355,-37,13.3,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:06:08.630155871Z,firework,eui-70b3d57ed005de4f,1,356,-37,13.5,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:06:29.827005763Z,firework,eui-70b3d57ed005de4f,1,357,-37,13.8,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:06:50.963499901Z,firework,eui-70b3d57ed005de4f,1,358,-37,13.3,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:07:12.079286571Z,firework,eui-70b3d57ed005de4f,1,359,-38,13.3,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:07:33.220416320Z,firework,eui-70b3d57ed005de4f,1,360,-37,13.8,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:07:54.563506373Z,firework,eui-70b3d57ed005de4f,1,361,-37,13.3,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:08:15.527035152Z,firework,eui-70b3d57ed005de4f,1,362,-38,13.8,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:08:36.763219619Z,firework,eui-70b3d57ed005de4f,1,363,-38,10.3,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:08:57.810479487Z,firework,eui-70b3d57ed005de4f,1,364,-38,13.8,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:09:18.968800580Z,firework,eui-70b3d57ed005de4f,1,365,-37,13.8,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:09:40.123959014Z,firework,eui-70b3d57ed005de4f,1,366,-28,13.5,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:10:01.267048178Z,firework,eui-70b3d57ed005de4f,1,367,-27,13.8,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:10:22.410000387Z,firework,eui-70b3d57ed005de4f,1,368,-27,13.5,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:10:43.576003280Z,firework,eui-70b3d57ed005de4f,1,369,-28,9.8,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:11:04.710384678Z,firework,eui-70b3d57ed005de4f,1,370,-27,13.5,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:11:25.868806698Z,firework,eui-70b3d57ed005de4f,1,371,-27,13.3,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:11:47.008137015Z,firework,eui-70b3d57ed005de4f,1,372,-28,13,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:12:08.158102020Z,firework,eui-70b3d57ed005de4f,1,373,-28,13.8,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:12:29.304734707Z,firework,eui-70b3d57ed005de4f,1,374,-28,13.8,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:12:50.454546996Z,firework,eui-70b3d57ed005de4f,1,375,-27,13.5,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:13:11.602743696Z,firework,eui-70b3d57ed005de4f,1,376,-28,10.3,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:13:32.753616358Z,firework,eui-70b3d57ed005de4f,1,377,-34,13.3,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
2024-06-11T03:13:53.926598925Z,firework,eui-70b3d57ed005de4f,1,378,-35,13.3,-,0.051456s,rm9xbQ==,"{'degreesC': 23.999, 'humidity': 17.0044}"
